subspecies	p-adj	Composite	cluster95	phylum
0001001001	0.0041	0.6673581205029159	0001	p__Bacteroidota
0001001002	1.0	0.062294692321792355	0001	p__Bacteroidota
0001001005	0.3465	0.543775144427707	0001	p__Bacteroidota
0002001003	1.0	0.00018670545554803965	0002	p__Bacteroidota
0002001005	0.999	0.28673010094796286	0002	p__Bacteroidota
0002001008	0.9849	0.13004824019089614	0002	p__Bacteroidota
0002001009	0.9947	0.1544250318137742	0002	p__Bacteroidota
0002001010	0.9901	0.0900517217677876	0002	p__Bacteroidota
0002001013	0.9951	0.1434428486391011	0002	p__Bacteroidota
0003001002	0.0185	0.6615757039734992	0003	p__Firmicutes_A
0003001003	0.0	0.799104024296102	0003	p__Firmicutes_A
0004001001	0.617	0.4603023973320908	0004	p__Firmicutes_A
0004001002	0.2362	0.4032713937213634	0004	p__Firmicutes_A
0004001004	0.204	0.45632051743241464	0004	p__Firmicutes_A
0005001001	0.0667	0.5714506937708507	0005	p__Firmicutes_A
0005001002	0.5081	0.4446637705074312	0005	p__Firmicutes_A
0006001001	0.5558	0.39937975446172025	0006	p__Firmicutes_A
0006001002	0.0551	0.5467399046015883	0006	p__Firmicutes_A
0006001004	0.9992	0.19457412517935846	0006	p__Firmicutes_A
0006001005	1.0	0.3990716010755925	0006	p__Firmicutes_A
0006001006	1.0	0.15778681975188003	0006	p__Firmicutes_A
0006001007	0.9638	0.16774405502695025	0006	p__Firmicutes_A
0006001008	0.9997	0.09926376705905587	0006	p__Firmicutes_A
0006001010	1.0	0.04361143815485034	0006	p__Firmicutes_A
0009001001	0.1688	0.439412729472026	0009	p__Firmicutes_A
0009001002	0.3707	0.31033789403174505	0009	p__Firmicutes_A
0009001003	1.0	0.15744024324922698	0009	p__Firmicutes_A
0011001001	1.0	0.43361917554036733	0011	p__Firmicutes_A
0011001005	0.0037	0.708768454409771	0011	p__Firmicutes_A
0013001001	0.092	0.5909144752950606	0013	p__Firmicutes_A
0013001002	0.5088	0.4448598113117191	0013	p__Firmicutes_A
0013001003	0.028	0.6598775728942209	0013	p__Firmicutes_A
0018001001	1.0	0.011561108994574399	0018	p__Bacteroidota
0018001002	1.0	0.04563627152416135	0018	p__Bacteroidota
0018001003	0.0043	0.5955274109572856	0018	p__Bacteroidota
0018001004	0.0135	0.5387884053779837	0018	p__Bacteroidota
0019001001	0.8017	0.4062042750671249	0019	p__Firmicutes_A
0020001001	0.9726	0.4110182939696908	0020	p__Firmicutes_A
0020001003	0.0	0.7756348590441987	0020	p__Firmicutes_A
0020001006	0.9985	0.39499968348743464	0020	p__Firmicutes_A
