Value	Feature	test_study	data_type	random_state
9	0001001001	VogtmannE_2016	subspecies	424
13	0001001002	VogtmannE_2016	subspecies	424
24	0001001005	VogtmannE_2016	subspecies	424
9	0002001001	VogtmannE_2016	subspecies	424
8	0002001003	VogtmannE_2016	subspecies	424
11	0002001005	VogtmannE_2016	subspecies	424
33	0002001008	VogtmannE_2016	subspecies	424
76	0002001009	VogtmannE_2016	subspecies	424
3	0002001010	VogtmannE_2016	subspecies	424
3	0002001013	VogtmannE_2016	subspecies	424
29	0003001002	VogtmannE_2016	subspecies	424
17	0003001003	VogtmannE_2016	subspecies	424
9	0004001001	VogtmannE_2016	subspecies	424
1	0004001002	VogtmannE_2016	subspecies	424
3	0004001004	VogtmannE_2016	subspecies	424
1	0005001001	VogtmannE_2016	subspecies	424
1	0005001002	VogtmannE_2016	subspecies	424
1	0006001001	VogtmannE_2016	subspecies	424
5	0006001002	VogtmannE_2016	subspecies	424
12	0006001004	VogtmannE_2016	subspecies	424
1	0006001005	VogtmannE_2016	subspecies	424
0	0006001007	VogtmannE_2016	subspecies	424
42	0006001008	VogtmannE_2016	subspecies	424
22	0008001001	VogtmannE_2016	subspecies	424
16	0009001001	VogtmannE_2016	subspecies	424
5	0009001002	VogtmannE_2016	subspecies	424
0	0011001001	VogtmannE_2016	subspecies	424
31	0011001005	VogtmannE_2016	subspecies	424
0	0013001001	VogtmannE_2016	subspecies	424
0	0013001002	VogtmannE_2016	subspecies	424
1	0013001003	VogtmannE_2016	subspecies	424
7	0014001001	VogtmannE_2016	subspecies	424
0	0018001001	VogtmannE_2016	subspecies	424
2	0018001002	VogtmannE_2016	subspecies	424
0	0018001003	VogtmannE_2016	subspecies	424
8	0018001004	VogtmannE_2016	subspecies	424
12	0019001001	VogtmannE_2016	subspecies	424
9	0020001001	VogtmannE_2016	subspecies	424
8	0020001003	VogtmannE_2016	subspecies	424
2	0020001006	VogtmannE_2016	subspecies	424
2	0023001001	VogtmannE_2016	subspecies	424
10	0023001002	VogtmannE_2016	subspecies	424
1	0024001003	VogtmannE_2016	subspecies	424
2	0024001004	VogtmannE_2016	subspecies	424
13	0024001015	VogtmannE_2016	subspecies	424
6	0027001001	VogtmannE_2016	subspecies	424
2	0027001003	VogtmannE_2016	subspecies	424
0	0029001001	VogtmannE_2016	subspecies	424
0	0030001003	VogtmannE_2016	subspecies	424
17	0030001004	VogtmannE_2016	subspecies	424
4	0030001006	VogtmannE_2016	subspecies	424
6	0030001007	VogtmannE_2016	subspecies	424
102	0030001009	VogtmannE_2016	subspecies	424
2	0030001010	VogtmannE_2016	subspecies	424
53	0030001011	VogtmannE_2016	subspecies	424
1	0031001001	VogtmannE_2016	subspecies	424
3	0031001002	VogtmannE_2016	subspecies	424
1	0031001003	VogtmannE_2016	subspecies	424
13	0033001001	VogtmannE_2016	subspecies	424
2	0033001002	VogtmannE_2016	subspecies	424
8	0033001004	VogtmannE_2016	subspecies	424
49	0035001002	VogtmannE_2016	subspecies	424
0	0036001001	VogtmannE_2016	subspecies	424
0	0036001002	VogtmannE_2016	subspecies	424
4	0036001004	VogtmannE_2016	subspecies	424
17	0036001005	VogtmannE_2016	subspecies	424
5	0037001001	VogtmannE_2016	subspecies	424
26	0037001003	VogtmannE_2016	subspecies	424
28	0038001001	VogtmannE_2016	subspecies	424
0	0038001002	VogtmannE_2016	subspecies	424
4	0038001003	VogtmannE_2016	subspecies	424
2	0040001001	VogtmannE_2016	subspecies	424
4	0040001002	VogtmannE_2016	subspecies	424
6	0040001003	VogtmannE_2016	subspecies	424
4	0041001001	VogtmannE_2016	subspecies	424
23	0044001002	VogtmannE_2016	subspecies	424
2	0045001001	VogtmannE_2016	subspecies	424
104	0045001002	VogtmannE_2016	subspecies	424
11	0045001003	VogtmannE_2016	subspecies	424
3	0045001004	VogtmannE_2016	subspecies	424
4	0046001001	VogtmannE_2016	subspecies	424
0	0046001002	VogtmannE_2016	subspecies	424
23	0046001003	VogtmannE_2016	subspecies	424
0	0046001004	VogtmannE_2016	subspecies	424
26	0047001001	VogtmannE_2016	subspecies	424
16	0050001001	VogtmannE_2016	subspecies	424
3	0051001001	VogtmannE_2016	subspecies	424
12	0051001002	VogtmannE_2016	subspecies	424
144	0052001001	VogtmannE_2016	subspecies	424
1	0052001002	VogtmannE_2016	subspecies	424
14	0053001001	VogtmannE_2016	subspecies	424
6	0053001002	VogtmannE_2016	subspecies	424
0	0055001001	VogtmannE_2016	subspecies	424
32	0055001003	VogtmannE_2016	subspecies	424
8	0056001001	VogtmannE_2016	subspecies	424
0	0056001002	VogtmannE_2016	subspecies	424
2	0057001001	VogtmannE_2016	subspecies	424
21	0057001002	VogtmannE_2016	subspecies	424
10	0057001003	VogtmannE_2016	subspecies	424
1	0057001004	VogtmannE_2016	subspecies	424
0	0058001002	VogtmannE_2016	subspecies	424
1	0062001001	VogtmannE_2016	subspecies	424
1	0062001002	VogtmannE_2016	subspecies	424
15	0062001003	VogtmannE_2016	subspecies	424
1	0064001001	VogtmannE_2016	subspecies	424
14	0065001001	VogtmannE_2016	subspecies	424
6	0065001005	VogtmannE_2016	subspecies	424
5	0066001001	VogtmannE_2016	subspecies	424
1	0066001002	VogtmannE_2016	subspecies	424
4	0067001001	VogtmannE_2016	subspecies	424
4	0068001001	VogtmannE_2016	subspecies	424
1	0068001002	VogtmannE_2016	subspecies	424
6	0068001003	VogtmannE_2016	subspecies	424
4	0071001003	VogtmannE_2016	subspecies	424
4	0072001002	VogtmannE_2016	subspecies	424
6	0072001003	VogtmannE_2016	subspecies	424
10	0072001004	VogtmannE_2016	subspecies	424
2	0073001003	VogtmannE_2016	subspecies	424
10	0076001001	VogtmannE_2016	subspecies	424
10	0076001004	VogtmannE_2016	subspecies	424
0	0079001001	VogtmannE_2016	subspecies	424
0	0079001002	VogtmannE_2016	subspecies	424
0	0079001003	VogtmannE_2016	subspecies	424
0	0083001001	VogtmannE_2016	subspecies	424
11	0083001002	VogtmannE_2016	subspecies	424
2	0084001001	VogtmannE_2016	subspecies	424
2	0084001002	VogtmannE_2016	subspecies	424
22	0084001003	VogtmannE_2016	subspecies	424
33	0084001005	VogtmannE_2016	subspecies	424
12	0085001001	VogtmannE_2016	subspecies	424
1	0086001001	VogtmannE_2016	subspecies	424
12	0086001002	VogtmannE_2016	subspecies	424
5	0088001001	VogtmannE_2016	subspecies	424
0	0088001003	VogtmannE_2016	subspecies	424
26	0088001004	VogtmannE_2016	subspecies	424
0	0088001005	VogtmannE_2016	subspecies	424
1	0088001006	VogtmannE_2016	subspecies	424
10	0089001002	VogtmannE_2016	subspecies	424
0	0089001003	VogtmannE_2016	subspecies	424
9	0092001002	VogtmannE_2016	subspecies	424
2	0093001002	VogtmannE_2016	subspecies	424
3	0093001003	VogtmannE_2016	subspecies	424
4	0095001001	VogtmannE_2016	subspecies	424
25	0095001002	VogtmannE_2016	subspecies	424
6	0095001005	VogtmannE_2016	subspecies	424
2	0097001001	VogtmannE_2016	subspecies	424
1	0097001002	VogtmannE_2016	subspecies	424
19	0099001001	VogtmannE_2016	subspecies	424
5	0101001001	VogtmannE_2016	subspecies	424
0	0101001003	VogtmannE_2016	subspecies	424
12	0102001002	VogtmannE_2016	subspecies	424
12	0103001001	VogtmannE_2016	subspecies	424
50	0103001002	VogtmannE_2016	subspecies	424
13	0103001003	VogtmannE_2016	subspecies	424
4	0104001001	VogtmannE_2016	subspecies	424
0	0104001002	VogtmannE_2016	subspecies	424
40	0105001001	VogtmannE_2016	subspecies	424
40	0105001002	VogtmannE_2016	subspecies	424
79	0107001003	VogtmannE_2016	subspecies	424
65	0108001002	VogtmannE_2016	subspecies	424
7	0109001001	VogtmannE_2016	subspecies	424
3	0109001002	VogtmannE_2016	subspecies	424
17	0110001001	VogtmannE_2016	subspecies	424
2	0110001002	VogtmannE_2016	subspecies	424
41	0110001004	VogtmannE_2016	subspecies	424
10	0111001001	VogtmannE_2016	subspecies	424
2	0111001002	VogtmannE_2016	subspecies	424
6	0113001001	VogtmannE_2016	subspecies	424
2	0113001002	VogtmannE_2016	subspecies	424
2	0113001003	VogtmannE_2016	subspecies	424
4	0115001001	VogtmannE_2016	subspecies	424
56	0115001002	VogtmannE_2016	subspecies	424
39	0115001003	VogtmannE_2016	subspecies	424
2	0116001001	VogtmannE_2016	subspecies	424
4	0117001001	VogtmannE_2016	subspecies	424
10	0119001001	VogtmannE_2016	subspecies	424
6	0120001002	VogtmannE_2016	subspecies	424
2	0120001003	VogtmannE_2016	subspecies	424
5	0121001001	VogtmannE_2016	subspecies	424
6	0121001002	VogtmannE_2016	subspecies	424
2	0122001001	VogtmannE_2016	subspecies	424
1	0122001002	VogtmannE_2016	subspecies	424
7	0122001003	VogtmannE_2016	subspecies	424
40	0124001001	VogtmannE_2016	subspecies	424
144	0125001001	VogtmannE_2016	subspecies	424
9	0125001002	VogtmannE_2016	subspecies	424
0	0127001001	VogtmannE_2016	subspecies	424
0	0127001002	VogtmannE_2016	subspecies	424
1	0128001001	VogtmannE_2016	subspecies	424
24	0128001002	VogtmannE_2016	subspecies	424
6	0130001001	VogtmannE_2016	subspecies	424
5	0130001002	VogtmannE_2016	subspecies	424
7	0130001003	VogtmannE_2016	subspecies	424
0	0131001001	VogtmannE_2016	subspecies	424
0	0132001001	VogtmannE_2016	subspecies	424
9	0132001002	VogtmannE_2016	subspecies	424
0	0132001008	VogtmannE_2016	subspecies	424
2	0133001001	VogtmannE_2016	subspecies	424
0	0134001001	VogtmannE_2016	subspecies	424
