RowNames	LILT_GF06_16	LILT_GF12_16	LILT_GF15_16	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF00TL_16	LILT_VF02_T016	LILT_VF04_16	LILT_VF06_16	LILT_VF07_16	LILT_VF10_T016	LILT_VF100_T016	LILT_VF102_T017	LILT_VF107_16	LILT_VF114_T017	LILT_VF120_16	LILT_VF140_T016	LILT_VF145_T017	LILT_VF154_T017	LILT_VF166_T017	LILT_VF170_T016	LILT_VF171_T016	LILT_VF172_T017	LILT_VF174_T017	LILT_VF176_T017	LILT_VF18_T016	LILT_VF189_T016	LILT_VF192_T017	LILT_VF197_T017	LILT_VF206_T016	LILT_VF207_T017	LILT_VF208_T017	LILT_VF212_T016	LILT_VF214_T016	LILT_VF216_T017	LILT_VF217_T017	LILT_VF232_T017	LILT_VF234_T017	LILT_VF251_T017	LILT_VF255_T016	LILT_VF259_T016	LILT_VF261_T016	LILT_VF262_T016	LILT_VF263_T016	LILT_VF264_T017	LILT_VF265_T016	LILT_VF270_T017	LILT_VF273_T017	LILT_VF279_T016	LILT_VF28_T016	LILT_VF281_T017	LILT_VF29_16	LILT_VF30_16	LILT_VF300_T016	LILT_VF301_T016	LILT_VF31_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF40_16	LILT_VF43_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF65_16	LILT_VF66_T017	LILT_VF69_16	LILT_VF70_16	LILT_VF71_16	LILT_VF73_16	LILT_VF77_16	LILT_VF82_T016	LILT_VF84_16	LILT_VF90_16	LILT_VF95_16	LILT_VF97_16
Citrobacter braakii	40131680	0	0	0	5215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39869	0	0	0	0	0	0	0	0	29939	0	0	0	0	0	210419	4063338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia muciniphila	39798683	239060	3779449	350590	0	3887	14278	0	0	20877175	0	18117620	4899989	95439	258540	2000390	1554077	0	0	0	0	481227	56903	0	2310616	0	183615	0	4281719	0	0	39127	0	4979122	0	0	0	0	2659457	0	0	716887	0	0	0	17982	192303	0	0	0	18203292	0	8166903	0	0	0	5201421	0	0	70854282	0	0	0	0	23272	0	1361633	0	5188873	0	0	1228635	0	6147023	13056999	424168	327283	0	0	0
Flavonifractor plautii	29528809	6305444	891918	3134	2198096	539270	387387	92116	3704092	6529975	438341	99209	749601	15041	97161	1735583	863358	20800	433695	0	524437	194663	46831644	686673	518911	318668	3484365	961096	55983	8567	1830641	4063854	0	7380	0	0	1931524	90723	107682	286991	30347	1937482	1203105	460729	733666	537831	171974	191732	25415	2872881	139773	6216238	67330	2482171	212943	68701	127866	252364	431137	714223	403018	66724	47322	1720800	1281031	594465	587315	318058	29719	145274	12498	0	729919	205532	16326	79496	59758	1340414	89905	345545
Ruthenibacterium lactatiformans	22824528	2443077	497391	46181	0	8301272	188448	265732	118102	3099512	207514	1142038	1437844	94506	77746	357381	284649	852770	111417	0	260120	287222	44410	0	143446	53484	354117	1587611	496624	94485	17592	1376069	0	61342	328361	0	559374	18849	443039	580880	0	937752	48295	247265	401401	913726	46155	50768	2101080	993635	844324	395371	373867	12423552	85823	13328	19669	38684	69599	6398668	60499	607747	31801	3897417	284407	295326	186470	46432	20756	1423414	3664	21297	4669870	3520849	313299	165744	33409	351616	24815	319679
Escherichia coli	21225064	539576	13725	29541	1256246	374280	134187	81016	13024945	4317672	11251	133431	243011	115336	6782213	3369580	1636052	373770	345421	21825051	51146	0	2981515	3773	12283	35604	4246	664469	263703	1805202	0	3086986	344518	28057	1409161	105806136	17464214	187057	5052673	10750	439944	259548	160425	1744	0	2267	0	1371171	5491848	36930	51888	1296308	34439	5166418	1394686	330970	6556	7768	14760	7920967	10916	0	2492308	17704609	153032	56910	46719920	0	2545086	0	767014	0	20385233	3321272	224373	1736	775247	2586580	3693121	18430018
Citrobacter youngae	3130112	0	0	0	6344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202829	0	0	0	0	0	17440	340133	26806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eisenbergiella tayi	2411111	0	0	0	18427	21810	0	0	0	0	0	0	3428	0	13927	0	0	0	7133	0	15106	19638	0	0	0	1902	0	7984	34145	0	0	0	0	0	0	0	552967	0	2544	0	0	0	2751	0	0	12953	0	1354	398076	0	9855	0	0	513	3057	0	0	0	0	368304	1080	0	0	66667	1558	0	0	7266	53232	0	0	0	19908	88686	0	0	0	0	0	79417
Anaerotruncus colihominis	1347005	427699	82548	0	238503	0	6078	0	0	21142	0	0	156825	10596	0	169268	0	2938	119401	0	0	0	0	0	79811	79475	77812	212399	35083	0	0	138516	0	2286	0	0	9815	6270	118730	27215	0	0	3898	1481	10097	205539	0	9427	4074	28688	93460	297463	35755	489694	2989	0	0	0	0	146559	12227	90851	5643	0	446125	8201	0	108114	0	28421	0	0	0	143304	0	0	0	789	0	14698
Gordonibacter pamelaeae	1177639	29734	1615	0	24590	223058	0	0	106921	57027	0	0	0	0	0	0	0	18217	0	0	3078	0	23535	2100	1342	0	184667	2156	0	0	0	30147	0	7267	0	0	0	0	15637	0	25458	33447	4258	145777	311553	16268	0	0	16687	8688	4851	54584	0	12507	922	0	2978	0	40426	1512108	0	10484	0	25004	46391	29765	0	1913	12717	58305	0	0	16996	39596	0	0	411	68476	5367	3469
Pseudoflavonifractor sp. An184	836906	0	0	0	25900	6936	10969	0	0	0	0	0	0	0	0	68362	0	39946	25654	0	0	0	0	0	171957	0	0	0	104613	0	0	52503	0	0	0	0	0	0	0	0	0	0	0	0	0	4572	0	0	0	0	8209	0	0	24214	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium sp. CAG:242	818340	0	38448	0	0	0	0	0	0	0	0	0	0	52370	3240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35991	0	0	0	0	0	0
Firmicutes bacterium CAG:94	768847	0	0	0	32546	37594	115080	0	0	0	17688	104922	0	0	0	109836	0	60222	92938	0	0	0	0	0	52766	0	0	0	0	0	0	38872	0	0	0	0	0	0	11566	669	0	0	0	15969	26201	0	0	48766	0	23231	12775	81704	0	31255	0	0	0	0	19235	200863	0	59891	0	37604	9864	0	0	0	211996	31939	66962	0	0	10545	0	0	0	0	0	0
[Clostridium] symbiosum	621041	98559	0	0	0	34946	0	0	268499	402787	0	0	0	0	134300	34553	0	0	31360	0	308575	0	33932	0	0	1107	0	0	6289	0	0	0	0	0	0	0	0	0	292302	0	0	0	83644	0	0	4858	0	0	1419484	0	724	12095	0	0	0	0	0	0	0	414267	0	0	0	0	37310	76907	0	0	20761	0	0	0	271226	257223	0	0	0	312089	26938	0
Bacteroides ovatus	527992	0	156996	154715	19865	0	1684004	0	326614	2716507	43933	0	78553	0	0	0	0	0	282575	0	6603	52684	0	20505	4328919	78368	199170	115269	153765	60918	31435551	0	0	321331	0	0	0	0	141179	1191196	255884	643880	649102	288042	248644	592711	164804	0	151444	881587	186372	43092	125647	585	1977752	416997	16090	9899	90463	0	265246	0	20710	2555121	58491	0	138122	82490	15192	454958	1470	289190	584248	15905	23883	4658	0	797391	1041824	68019
Ruminococcus bromii	492726	95410	43557	577607	0	49681	352503	0	0	1544124	118189	0	0	0	0	0	0	633277	211688	5263	0	1016380	4540	0	344759	0	69771	321009	841240	0	0	0	0	118149	0	0	0	68185	0	0	0	54211	0	0	0	529240	97941	640711	0	66335	6408278	0	3884456	471495	337331	5594	553568	48219	157754	0	2085017	626182	179291	494488	0	0	0	0	59820	0	0	0	0	1342417	0	35451	0	658554	0	0
Citrobacter pasteurii	440929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hungatella hathewayi	377377	0	0	0	32493	0	3476	0	173565	0	0	926	0	0	0	145779	0	0	6290	0	113004	0	293463	0	0	0	0	0	4342	2447	80834	328	0	0	0	0	0	0	1862	0	0	0	17621	0	0	74082	0	0	297550	0	790	0	0	819844	0	0	0	0	0	33134	0	0	0	0	0	0	0	0	10602	1943	0	0	774	20327	8969	0	0	0	0	3409
Enterocloster bolteae	366497	256263	0	0	0	0	0	0	0	22741	0	22318	21627	0	5209	3261	0	0	0	0	0	1149	1137718	11634	0	457	0	0	3177	0	6280	4434	0	0	0	0	0	0	9987	0	0	249342	6658	0	0	64405	0	1057	153493	48498	21159	2657	3480	134065	0	0	0	0	0	3776	0	0	0	0	0	2821	6355	5028	0	193861	0	0	95577	0	0	0	0	165171	0	1740
Anaeromassilibacillus sp. An250	287574	29166	0	0	56679	818386	61297	0	47428	5239	1270	60473	4807	0	0	12873	0	0	0	0	0	0	0	0	0	0	0	36438	103890	0	0	0	0	0	0	0	0	0	0	4909	7799	0	0	138431	140490	91416	0	1838	0	0	34021	0	12972	8616	0	0	3524	0	0	15488	18541	0	0	0	18356	0	0	0	0	0	15226	0	0	0	45108	0	1195	0	0	0
Pyramidobacter piscolens	214604	0	0	0	0	0	0	0	0	3453	0	0	0	0	0	614970	0	0	0	0	15827932	0	58972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758942	0	0	0	0	395707	14238	0	0	0	0	0	0	0	0	0	0	0	0	1448055	0	0	0	0	0	0	0	0	0	0	0
Citrobacter werkmanii	201638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor sp. An10	112221	0	0	0	0	0	0	0	0	0	0	26833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17581	0	0	0	0	0	0	0	0	0	0	23181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes bacterium CAG:83	107949	0	0	51419	1089421	62495	1642522	148140	0	26514	894448	43008	0	42230	0	0	915596	67165	0	0	0	486041	0	0	0	146427	299300	4737461	0	1137	0	637034	0	36633	0	0	0	206886	6660	1276255	271213	0	0	351812	624206	31031	76591	754241	61110	0	288699	0	114593	12637884	52843	8659	884762	67174	625531	1370886	369689	80094	0	3363836	3833115	12954	0	0	1402491	0	272249	56394	0	2057192	30364	0	17157	0	401068	667453
