RowNames	CCMD10032470ST.11.0	CCMD10191450ST.11.0	CCMD11006829ST.21.0	CCMD12232071ST.21.0	CCMD13071240ST.21.0	CCMD13934959ST.21.0	CCMD14479708ST.21.0	CCMD15562448ST.11.0	CCMD17410933ST.11.0	CCMD18579000ST.11.0	CCMD18829815ST.11.0	CCMD18872694ST.21.0	CCMD19168690ST.11.0	CCMD19497912ST.21.0	CCMD21593359ST.11.0	CCMD21703880ST.11.0	CCMD22852639ST.11.0	CCMD23101338ST.21.0	CCMD23541216ST.11.0	CCMD25475945ST.11.0	CCMD25511638ST.21.0	CCMD25963797ST.21.0	CCMD26625622ST.11.0	CCMD26709089ST.21.0	CCMD26925580ST.21.0	CCMD27463710ST.11.0	CCMD27867141ST.11.0	CCMD28738636ST.11.0	CCMD29706695ST.11.0	CCMD30626189ST.11.0	CCMD30627121ST.11.0	CCMD31009081ST.11.0	CCMD31134579ST.11.0	CCMD32288175ST.11.0	CCMD32965613ST.11.0	CCMD34381688ST.21.0	CCMD35081859ST.11.0	CCMD35633353ST.11.0	CCMD35801800ST.11.0	CCMD35802077ST.21.0	CCMD37575804ST.11.0	CCMD38158721ST.11.0	CCMD39157124ST.11.0	CCMD39882286ST.11.0	CCMD40701343ST.21.0	CCMD41202658ST.11.0	CCMD41521570ST.11.0	CCMD42428553ST.21.0	CCMD42956136ST.11.0	CCMD45004878ST.11.0	CCMD45812507ST.11.0	CCMD45988061ST.21.0	CCMD46222674ST.21.0	CCMD46727384ST.11.0	CCMD46947453ST.21.0	CCMD48236717ST.21.0	CCMD49025643ST.11.0	CCMD49461418ST.11.0	CCMD49942357ST.11.0	CCMD50071957ST.21.0	CCMD50300306ST.11.0	CCMD50529145ST.11.0	CCMD50538120ST.11.0	CCMD51154251ST.11.0	CCMD51228890ST.11.0	CCMD51864103ST.21.0	CCMD52117727ST.11.0	CCMD52145360ST.11.0	CCMD53508245ST.11.0	CCMD53522274ST.11.0	CCMD54057834ST.11.0	CCMD56948710ST.11.0	CCMD59540613ST.11.0	CCMD59583015ST.11.0	CCMD60079086ST.21.0	CCMD63399960ST.21.0	CCMD64503764ST.21.0	CCMD64776337ST.21.0	CCMD65222621ST.11.0	CCMD65406197ST.11.0	CCMD66848156ST.11.0	CCMD67373733ST.11.0	CCMD68973846ST.11.0	CCMD71242853ST.11.0	CCMD71915439ST.11.0	CCMD72666896ST.11.0	CCMD72690923ST.11.0	CCMD72895164ST.21.0	CCMD73128545ST.11.0	CCMD74592084ST.11.0	CCMD74930188ST.21.0	CCMD75147712ST.11.0	CCMD76222476ST.11.0	CCMD76409700ST.11.0	CCMD79349503ST.11.0	CCMD79987997ST.21.0	CCMD82866709ST.21.0	CCMD85481373ST.11.0	CCMD85661207ST.11.0	CCMD86114146ST.21.0	CCMD86707194ST.21.0	CCMD87156761ST.21.0	CCMD88272491ST.21.0	CCMD89107682ST.11.0	CCMD89306485ST.11.0	CCMD89643949ST.11.0	CCMD89967135ST.11.0	CCMD90311071ST.21.0	CCMD92404903ST.11.0	CCMD93344354ST.21.0	CCMD93755960ST.11.0	CCMD95431029ST.11.0	CCMD95433940ST.21.0	CCMD95676152ST.11.0	CCMD96553385ST.21.0	CCMD98198513ST.11.0	CCMD98531134ST.11.0	CCMD98702133ST.11.0	CCMD99440714ST.11.0	CCMD99929634ST.11.0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Phocaeicola plebeius	10376590	0	0	0	0	0	0	2462004	0	0	0	80633	0	0	0	0	0	0	0	1030023	0	0	449	0	12868	0	0	0	3883255	1845	130906	2622	0	0	0	0	0	0	3035	0	0	0	3857802	0	0	322999	0	0	0	0	0	0	0	0	0	4997	0	5380371	0	0	0	0	0	15892	0	0	0	0	0	1774528	0	0	0	0	6460883	5409869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	14713	0	0	0	0	0	1354782	12294	0	0	7946	0	6009378	0	0	0	0	0	0	7216	0	0	0	0	4432	153565	0
Faecalibacterium prausnitzii	7432250	12627116	240388	1602298	1629909	1689997	4645388	2715240	7586653	3326710	3563744	3942595	2333192	4997060	1449150	915214	3047877	6231817	1623304	1317521	363651	630789	924162	3690480	5762787	3125783	3319395	1739789	2337228	2024568	608901	3993980	1158595	3797898	6328787	18335523	11697172	6504358	1847239	6385040	5785918	3508946	3373238	6751424	13014	2215718	6541733	1561700	37376	2570076	4771539	2306844	7113154	2513754	9539853	5289471	2055286	15225165	3367378	4847693	4660729	7224982	8368198	7936983	2276433	4341677	3441268	8078617	4402072	4330692	3133477	3056312	2043852	16508789	6153916	3867401	589402	3848164	10190419	102372	6213504	3248007	2347225	3176822	1290753	53403	2924891	4184762	1967057	8282758	5191031	3900	6988468	3301523	2538414	4194	3964990	1527606	6852517	5410922	5006379	2910114	700078	7508211	17002276	5488663	2945020	4231341	36091	9230987	9620581	10939663	14877420	7283579	4839527	2011408	3092848	6297014	5917386	5622399	13951970	19691298	10799911	20669304	13865394
Bacteroides uniformis	2534779	262653	15355161	11211755	3922339	3275785	2109444	341877	326837	1713649	6338328	2685085	6147968	90100	5025399	379094	783134	541606	371895	3217930	6103087	4703111	2501962	3511474	4195187	7234204	2950071	583	643264	87153	270935	391196	259343	5184151	1722995	630501	1913428	517745	3979154	7602121	3527822	4100009	249101	2480	8562972	107083	590907	5440461	1588	694660	818311	751140	735950	5590097	5650750	215412	51378	3328285	2242054	4961195	598738	1365569	390305	1424739	1889443	625	17828583	6614799	5671783	568602	1623085	6249128	2783275	1379688	2603876	1544421	7869490	6390887	1170824	873201	2832699	632150	2286426	2356532	0	564447	335802	9736949	2235719	1392032	399216	10178698	271253	1121240	1843503	16691636	2200563	80362	725442	1174187	6235535	699469	1170628	1969254	715929	246414	1623772	5597973	1758213	4387765	4526335	4578941	7254317	4054672	16753665	817464	11130385	1080822	6011610	249508	20381252	12599639	12347525	4485131	7904433
Alistipes putredinis	1988622	1734457	4394260	39560	7908333	1163972	1445509	1405443	6105	476999	748344	1425861	0	22709	159206	4079922	7524270	2869877	502360	1464695	3080597	7527487	20255	0	3134287	5438092	4191708	0	2123	110874	4522	2122801	1105924	2047843	1261121	60476	3850449	1184311	981659	2230884	662048	721813	612828	0	16538	824777	4359	2036206	0	1374088	2833	1125189	61382	2102270	2188274	460919	12417581	0	2433	4689480	2158	9631	0	2539379	587710	2609737	5252224	40718	2718268	656732	866936	1035177	2269335	10165	3475916	668389	37738	1767935	10822935	1483121	247023	126588	521781	1630898	17888	0	11782	3166260	1705762	291657	349260	0	13098	481734	502983	0	1882736	606803	1524561	3301835	0	6652	3460960	621798	56629	2397018	339767	18686	0	3185425	2832250	220406	4200020	12142193	22387	320126	7695073	385280	3061947	2438568	9858	13212080	3324	7625315	0
Phocaeicola vulgatus	1427488	64533	4490978	2852	3277957	3854106	3936164	1186997	5442856	1628802	4424191	5218167	4194885	3214545	2821164	4762826	345682	2159099	3040573	591281	2104236	3836333	4851	2146	957988	4875104	1994572	7164816	646660	78062	460740	273771	6198	3485	648870	430845	1147515	2926494	4910083	2724939	1292153	0	2037260	2832	25271204	472883	1377908	1226885	364442	520860	2786195	4965457	1202091	674	4993431	692150	1600598	2479963	5587195	1202873	133054	177675	61664	616354	1179895	2839965	17606410	3561009	5683590	1103813	2354676	2395	2742326	7661189	498	9184547	7035349	2299348	16702	789401	2438949	228685	1311285	0	334	1220547	4141	11229241	4160355	3052535	15787065	0	537704	3231946	0	15483301	3789949	713900	3468573	3212476	12360568	17541	21725749	549425	160681	252421	539523	7673306	3651207	0	2393019	785177	6639701	0	14563383	1780585	1376581	4872572	3340414	1271770	8036564	908492	3654397	12306768	23833304
Roseburia intestinalis	1408686	180008	26472	0	124363	38281	1315213	1320780	4838456	0	638734	214272	0	0	12771	0	59699	1048639	0	638986	0	391767	1555678	10187252	3601	234550	18331	277605	8062	7135	1406	365252	69224	87309	5171	0	405825	0	2897955	2789	768814	277383	636714	5126	16844763	58701	507960	102211	0	0	3728401	16100	185632	172493	36610	136132	46914	12960	1159098	2086673	33271	525203	10640	5065	435414	688	143459	0	13801	1833999	403	825868	200807	4218104	0	1691707	112823	61951	55226	0	640700	345299	0	0	100095	82199	9177	434	679033	4732919	445415	353650	128058	117174	508614	456310	233241	550750	1864097	142873	170522	34005	0	1206392	1475706	567884	0	2631039	0	0	112257	31988	14206305	0	4800	515143	48855	0	2514732	418717	0	796733	6774	9343302	1408803
Roseburia inulinivorans	1021912	373260	666801	332022	735375	225912	924527	1435774	1627640	437163	262918	1501412	0	741123	223784	0	68707	186998	76396	549562	81784	475960	81024	645447	238558	389438	15502	726171	47788	401047	4564	640668	20626	50112	122615	618835	588922	11638	1008933	8096	221359	740706	206175	9669	1104	185607	223636	0	186661	789923	1206792	104210	1165783	0	1301669	660025	3904	3862854	816829	735635	44108	145211	0	668513	276058	5872319	1667559	598390	143728	233632	1271411	104876	2416050	2302356	0	2401279	431701	378037	108182	52443	103431	11125	329066	204373	97692	0	10712	2921228	996178	196412	3676063	286825	673545	101269	147583	174979	222733	601687	1584045	1334434	700193	698778	1095	524333	363441	195822	0	1267972	6026	1363052	2543048	65457	3912178	85862	3216	55888	12632	617122	471343	290774	6841	4785602	4035184	2439493	4030670
Fusicatenibacter saccharivorans	1018631	326487	448846	993173	2432751	366672	0	116463	1164495	1339692	523519	234772	172597	0	170597	1483666	379362	585872	74320	1019329	1046098	1843620	124445	1329953	802201	1604842	2138167	109655	251618	130405	193257	507165	143291	832813	387438	578297	1284503	7702067	515204	6702461	1005764	90842	374802	731695	4383	216679	1275842	5860989	340377	2349844	227839	321654	925257	1318648	2383813	198823	4944613	673599	429451	616336	91334	627244	142531	3838036	448740	4657984	1273917	1513619	635848	106551	234042	865171	455588	904307	0	1029206	16938	552010	2386168	611844	1168844	465049	314644	302868	33077	0	340263	1107318	196414	810788	1039135	196495	110901	293834	435956	836840	464109	194897	848448	1669053	1427073	618063	3098	452606	446941	271095	2008269	1728435	207016	897926	93396	567448	688299	611388	344140	470542	366925	678750	121937	1568863	1016727	3318304	3370032	2569729	1271313
Collinsella aerofaciens	988740	828837	576217	359507	641229	200929	622207	121375	586498	941681	61268	275401	0	568302	3351675	3611171	1170716	727856	87536	0	902414	1142236	0	0	45782	2345666	353292	478184	131682	842589	81186	3012047	163506	3743	8395	521975	737747	477039	162281	1088421	498977	839	120047	492367	7349	137652	467789	2025669	1432389	810058	657361	576568	2710243	447276	1010725	1846084	7940915	4928881	430964	135421	342761	1084816	0	2568239	841123	0	0	922794	1001393	3827	550776	1519920	1363481	5566386	22918	204101	1860368	15238	1467204	1198107	528459	1243288	351429	0	735421	1355098	1378473	178537	44385	3005	283898	0	591771	262036	122634	0	244916	141149	561601	1222134	744055	138340	230535	1120969	5676796	1113038	1618019	1094271	3359539	250265	454945	2023132	970892	5011360	8564	439594	19810	1163874	0	1918635	7202791	198741	8400	3169072	1082647
[Eubacterium] rectale	951834	1646576	107141	160407	2056606	4770851	429513	1539304	9149654	2452826	924828	3994849	0	240135	461038	0	806720	4897340	220785	24146	335930	7589305	5721810	20880909	54438	3195306	26159	732	338677	107667	126550	626500	145500	1821064	879306	4647577	368065	719122	3975717	8191	1683031	3496568	6110589	3113	12245	1475228	125823	312636	0	30352	38657	2270891	19899	1611	4549443	5275352	106759	48644	2544870	10283	1561	1149485	170955	451710	1936489	16962298	5553121	2571750	119398	14085	1127	100966	442365	1866329	0	2896387	1580	69829	128119	51285	987122	379293	1374303	2677544	806140	0	202191	5576809	3592252	7130015	1770847	0	427282	119112	0	2339994	2124589	14193	46485	202860	1856428	1250861	22825	682641	1892877	0	20628	2567973	280865	9790302	5286039	3131687	1886717	170879	45782	3815038	3136065	14328612	9182	2868965	154759	309047	27693981	3792410	4286916
