model	train_study	test_study	data_type	roc_auc	accuracy	recall	f1_score	ppv	npv	random_state
LBGM	['FengQ_2015']	YuJ_2015	species	0.5160632330443652	0.5275590551181102	0.6891891891891891	0.6296296296296297	0.6891891891891891	0.3018867924528302	424
LBGM	['FengQ_2015']	YuJ_2015	species	0.5160632330443652	0.5275590551181102	0.6891891891891891	0.6296296296296297	0.6891891891891891	0.3018867924528302	646
LBGM	['FengQ_2015']	YuJ_2015	species	0.5160632330443652	0.5275590551181102	0.6891891891891891	0.6296296296296297	0.6891891891891891	0.3018867924528302	968
LBGM	['YachidaS_2019']	YuJ_2015	species	0.7873533911269761	0.7401574803149606	0.7432432432432432	0.7692307692307693	0.7432432432432432	0.7358490566037735	424
LBGM	['YachidaS_2019']	YuJ_2015	species	0.7873533911269761	0.7401574803149606	0.7432432432432432	0.7692307692307693	0.7432432432432432	0.7358490566037735	646
LBGM	['YachidaS_2019']	YuJ_2015	species	0.7873533911269761	0.7401574803149606	0.7432432432432432	0.7692307692307693	0.7432432432432432	0.7358490566037735	968
LBGM	['WirbelJ_2018']	YuJ_2015	species	0.793727689954105	0.7086614173228346	0.6621621621621622	0.725925925925926	0.6621621621621622	0.7735849056603774	424
LBGM	['WirbelJ_2018']	YuJ_2015	species	0.793727689954105	0.7086614173228346	0.6621621621621622	0.725925925925926	0.6621621621621622	0.7735849056603774	646
LBGM	['WirbelJ_2018']	YuJ_2015	species	0.793727689954105	0.7086614173228346	0.6621621621621622	0.725925925925926	0.6621621621621622	0.7735849056603774	968
LBGM	['VogtmannE_2016']	YuJ_2015	species	0.5762366139724631	0.5748031496062992	0.6081081081081081	0.625	0.6081081081081081	0.5283018867924528	424
LBGM	['VogtmannE_2016']	YuJ_2015	species	0.5762366139724631	0.5748031496062992	0.6081081081081081	0.625	0.6081081081081081	0.5283018867924528	646
LBGM	['VogtmannE_2016']	YuJ_2015	species	0.5762366139724631	0.5748031496062992	0.6081081081081081	0.625	0.6081081081081081	0.5283018867924528	968
LBGM	['ZellerG_2014']	YuJ_2015	species	0.8184599694033656	0.7559055118110236	0.8513513513513513	0.8025477707006369	0.8513513513513513	0.6226415094339622	424
LBGM	['ZellerG_2014']	YuJ_2015	species	0.8184599694033656	0.7559055118110236	0.8513513513513513	0.8025477707006369	0.8513513513513513	0.6226415094339622	646
LBGM	['ZellerG_2014']	YuJ_2015	species	0.8184599694033656	0.7559055118110236	0.8513513513513513	0.8025477707006369	0.8513513513513513	0.6226415094339622	968
LBGM	['ThomasAM_2018a']	YuJ_2015	species	0.6939061703212648	0.5984251968503937	0.44594594594594594	0.5641025641025641	0.44594594594594594	0.8113207547169812	424
LBGM	['ThomasAM_2018a']	YuJ_2015	species	0.6939061703212648	0.5984251968503937	0.44594594594594594	0.5641025641025641	0.44594594594594594	0.8113207547169812	646
LBGM	['ThomasAM_2018a']	YuJ_2015	species	0.6939061703212648	0.5984251968503937	0.44594594594594594	0.5641025641025641	0.44594594594594594	0.8113207547169812	968
LBGM	['FengQ_2015', 'YachidaS_2019']	YuJ_2015	species	0.8085160632330444	0.7874015748031497	0.7972972972972973	0.8137931034482759	0.7972972972972973	0.7735849056603774	424
LBGM	['FengQ_2015', 'YachidaS_2019']	YuJ_2015	species	0.8085160632330444	0.7874015748031497	0.7972972972972973	0.8137931034482759	0.7972972972972973	0.7735849056603774	646
LBGM	['FengQ_2015', 'YachidaS_2019']	YuJ_2015	species	0.8085160632330444	0.7874015748031497	0.7972972972972973	0.8137931034482759	0.7972972972972973	0.7735849056603774	968
LBGM	['FengQ_2015', 'WirbelJ_2018']	YuJ_2015	species	0.8166751657317696	0.7559055118110236	0.7297297297297297	0.7769784172661871	0.7297297297297297	0.7924528301886793	424
LBGM	['FengQ_2015', 'WirbelJ_2018']	YuJ_2015	species	0.8166751657317696	0.7559055118110236	0.7297297297297297	0.7769784172661871	0.7297297297297297	0.7924528301886793	646
LBGM	['FengQ_2015', 'WirbelJ_2018']	YuJ_2015	species	0.8166751657317696	0.7559055118110236	0.7297297297297297	0.7769784172661871	0.7297297297297297	0.7924528301886793	968
LBGM	['FengQ_2015', 'VogtmannE_2016']	YuJ_2015	species	0.72233554309026	0.6850393700787402	0.7837837837837838	0.7435897435897435	0.7837837837837838	0.5471698113207547	424
LBGM	['FengQ_2015', 'VogtmannE_2016']	YuJ_2015	species	0.72233554309026	0.6850393700787402	0.7837837837837838	0.7435897435897435	0.7837837837837838	0.5471698113207547	646
LBGM	['FengQ_2015', 'VogtmannE_2016']	YuJ_2015	species	0.72233554309026	0.6850393700787402	0.7837837837837838	0.7435897435897435	0.7837837837837838	0.5471698113207547	968
LBGM	['FengQ_2015', 'ZellerG_2014']	YuJ_2015	species	0.818969913309536	0.7559055118110236	0.8378378378378378	0.8	0.8378378378378378	0.6415094339622641	424
LBGM	['FengQ_2015', 'ZellerG_2014']	YuJ_2015	species	0.818969913309536	0.7559055118110236	0.8378378378378378	0.8	0.8378378378378378	0.6415094339622641	646
LBGM	['FengQ_2015', 'ZellerG_2014']	YuJ_2015	species	0.818969913309536	0.7559055118110236	0.8378378378378378	0.8	0.8378378378378378	0.6415094339622641	968
LBGM	['FengQ_2015', 'ThomasAM_2018a']	YuJ_2015	species	0.6659867414584395	0.6220472440944882	0.8783783783783784	0.7303370786516854	0.8783783783783784	0.2641509433962264	424
LBGM	['FengQ_2015', 'ThomasAM_2018a']	YuJ_2015	species	0.6659867414584395	0.6220472440944882	0.8783783783783784	0.7303370786516854	0.8783783783783784	0.2641509433962264	646
LBGM	['FengQ_2015', 'ThomasAM_2018a']	YuJ_2015	species	0.6659867414584395	0.6220472440944882	0.8783783783783784	0.7303370786516854	0.8783783783783784	0.2641509433962264	968
LBGM	['YachidaS_2019', 'WirbelJ_2018']	YuJ_2015	species	0.7960224375318714	0.7086614173228346	0.7162162162162162	0.7412587412587412	0.7162162162162162	0.6981132075471698	424
LBGM	['YachidaS_2019', 'WirbelJ_2018']	YuJ_2015	species	0.7960224375318714	0.7086614173228346	0.7162162162162162	0.7412587412587412	0.7162162162162162	0.6981132075471698	646
LBGM	['YachidaS_2019', 'WirbelJ_2018']	YuJ_2015	species	0.7960224375318714	0.7086614173228346	0.7162162162162162	0.7412587412587412	0.7162162162162162	0.6981132075471698	968
LBGM	['YachidaS_2019', 'VogtmannE_2016']	YuJ_2015	species	0.8018867924528302	0.7401574803149606	0.7432432432432432	0.7692307692307693	0.7432432432432432	0.7358490566037735	424
LBGM	['YachidaS_2019', 'VogtmannE_2016']	YuJ_2015	species	0.8018867924528302	0.7401574803149606	0.7432432432432432	0.7692307692307693	0.7432432432432432	0.7358490566037735	646
LBGM	['YachidaS_2019', 'VogtmannE_2016']	YuJ_2015	species	0.8018867924528302	0.7401574803149606	0.7432432432432432	0.7692307692307693	0.7432432432432432	0.7358490566037735	968
LBGM	['YachidaS_2019', 'ZellerG_2014']	YuJ_2015	species	0.833248342682305	0.7480314960629921	0.6756756756756757	0.7575757575757576	0.6756756756756757	0.8490566037735849	424
LBGM	['YachidaS_2019', 'ZellerG_2014']	YuJ_2015	species	0.833248342682305	0.7480314960629921	0.6756756756756757	0.7575757575757576	0.6756756756756757	0.8490566037735849	646
LBGM	['YachidaS_2019', 'ZellerG_2014']	YuJ_2015	species	0.833248342682305	0.7480314960629921	0.6756756756756757	0.7575757575757576	0.6756756756756757	0.8490566037735849	968
LBGM	['YachidaS_2019', 'ThomasAM_2018a']	YuJ_2015	species	0.7830188679245284	0.7007874015748031	0.6756756756756757	0.7246376811594203	0.6756756756756757	0.7358490566037735	424
LBGM	['YachidaS_2019', 'ThomasAM_2018a']	YuJ_2015	species	0.7830188679245284	0.7007874015748031	0.6756756756756757	0.7246376811594203	0.6756756756756757	0.7358490566037735	646
LBGM	['YachidaS_2019', 'ThomasAM_2018a']	YuJ_2015	species	0.7830188679245284	0.7007874015748031	0.6756756756756757	0.7246376811594203	0.6756756756756757	0.7358490566037735	968
LBGM	['WirbelJ_2018', 'VogtmannE_2016']	YuJ_2015	species	0.8518612952575216	0.7637795275590551	0.8378378378378378	0.8051948051948051	0.8378378378378378	0.660377358490566	424
LBGM	['WirbelJ_2018', 'VogtmannE_2016']	YuJ_2015	species	0.8518612952575216	0.7637795275590551	0.8378378378378378	0.8051948051948051	0.8378378378378378	0.660377358490566	646
LBGM	['WirbelJ_2018', 'VogtmannE_2016']	YuJ_2015	species	0.8518612952575216	0.7637795275590551	0.8378378378378378	0.8051948051948051	0.8378378378378378	0.660377358490566	968
LBGM	['WirbelJ_2018', 'ZellerG_2014']	YuJ_2015	species	0.8411524732279448	0.7559055118110236	0.7297297297297297	0.7769784172661871	0.7297297297297297	0.7924528301886793	424
LBGM	['WirbelJ_2018', 'ZellerG_2014']	YuJ_2015	species	0.8411524732279448	0.7559055118110236	0.7297297297297297	0.7769784172661871	0.7297297297297297	0.7924528301886793	646
LBGM	['WirbelJ_2018', 'ZellerG_2014']	YuJ_2015	species	0.8411524732279448	0.7559055118110236	0.7297297297297297	0.7769784172661871	0.7297297297297297	0.7924528301886793	968
LBGM	['WirbelJ_2018', 'ThomasAM_2018a']	YuJ_2015	species	0.7718001019887812	0.6771653543307087	0.6756756756756757	0.7092198581560283	0.6756756756756757	0.6792452830188679	424
LBGM	['WirbelJ_2018', 'ThomasAM_2018a']	YuJ_2015	species	0.7718001019887812	0.6771653543307087	0.6756756756756757	0.7092198581560283	0.6756756756756757	0.6792452830188679	646
LBGM	['WirbelJ_2018', 'ThomasAM_2018a']	YuJ_2015	species	0.7718001019887812	0.6771653543307087	0.6756756756756757	0.7092198581560283	0.6756756756756757	0.6792452830188679	968
LBGM	['VogtmannE_2016', 'ZellerG_2014']	YuJ_2015	species	0.8125956144824069	0.7086614173228346	0.7027027027027027	0.7375886524822697	0.7027027027027027	0.7169811320754716	424
LBGM	['VogtmannE_2016', 'ZellerG_2014']	YuJ_2015	species	0.8125956144824069	0.7086614173228346	0.7027027027027027	0.7375886524822697	0.7027027027027027	0.7169811320754716	646
LBGM	['VogtmannE_2016', 'ZellerG_2014']	YuJ_2015	species	0.8125956144824069	0.7086614173228346	0.7027027027027027	0.7375886524822697	0.7027027027027027	0.7169811320754716	968
LBGM	['VogtmannE_2016', 'ThomasAM_2018a']	YuJ_2015	species	0.6940336562978073	0.6141732283464567	0.6081081081081081	0.6474820143884892	0.6081081081081081	0.6226415094339622	424
LBGM	['VogtmannE_2016', 'ThomasAM_2018a']	YuJ_2015	species	0.6940336562978073	0.6141732283464567	0.6081081081081081	0.6474820143884892	0.6081081081081081	0.6226415094339622	646
LBGM	['VogtmannE_2016', 'ThomasAM_2018a']	YuJ_2015	species	0.6940336562978073	0.6141732283464567	0.6081081081081081	0.6474820143884892	0.6081081081081081	0.6226415094339622	968
LBGM	['ZellerG_2014', 'ThomasAM_2018a']	YuJ_2015	species	0.8424273329933707	0.7874015748031497	0.7567567567567568	0.8057553956834532	0.7567567567567568	0.8301886792452831	424
LBGM	['ZellerG_2014', 'ThomasAM_2018a']	YuJ_2015	species	0.8424273329933707	0.7874015748031497	0.7567567567567568	0.8057553956834532	0.7567567567567568	0.8301886792452831	646
LBGM	['ZellerG_2014', 'ThomasAM_2018a']	YuJ_2015	species	0.8424273329933707	0.7874015748031497	0.7567567567567568	0.8057553956834532	0.7567567567567568	0.8301886792452831	968
LBGM	['FengQ_2015', 'YachidaS_2019', 'WirbelJ_2018']	YuJ_2015	species	0.812850586435492	0.7559055118110236	0.7972972972972973	0.7919463087248321	0.7972972972972973	0.6981132075471698	424
LBGM	['FengQ_2015', 'YachidaS_2019', 'WirbelJ_2018']	YuJ_2015	species	0.812850586435492	0.7559055118110236	0.7972972972972973	0.7919463087248321	0.7972972972972973	0.6981132075471698	646
LBGM	['FengQ_2015', 'YachidaS_2019', 'WirbelJ_2018']	YuJ_2015	species	0.812850586435492	0.7559055118110236	0.7972972972972973	0.7919463087248321	0.7972972972972973	0.6981132075471698	968
LBGM	['FengQ_2015', 'YachidaS_2019', 'VogtmannE_2016']	YuJ_2015	species	0.8309535951045386	0.7559055118110236	0.8243243243243243	0.7973856209150328	0.8243243243243243	0.660377358490566	424
LBGM	['FengQ_2015', 'YachidaS_2019', 'VogtmannE_2016']	YuJ_2015	species	0.8309535951045386	0.7559055118110236	0.8243243243243243	0.7973856209150328	0.8243243243243243	0.660377358490566	646
LBGM	['FengQ_2015', 'YachidaS_2019', 'VogtmannE_2016']	YuJ_2015	species	0.8309535951045386	0.7559055118110236	0.8243243243243243	0.7973856209150328	0.8243243243243243	0.660377358490566	968
LBGM	['FengQ_2015', 'YachidaS_2019', 'ZellerG_2014']	YuJ_2015	species	0.8329933707292199	0.7637795275590551	0.7432432432432432	0.7857142857142858	0.7432432432432432	0.7924528301886793	424
LBGM	['FengQ_2015', 'YachidaS_2019', 'ZellerG_2014']	YuJ_2015	species	0.8329933707292199	0.7637795275590551	0.7432432432432432	0.7857142857142858	0.7432432432432432	0.7924528301886793	646
LBGM	['FengQ_2015', 'YachidaS_2019', 'ZellerG_2014']	YuJ_2015	species	0.8329933707292199	0.7637795275590551	0.7432432432432432	0.7857142857142858	0.7432432432432432	0.7924528301886793	968
LBGM	['FengQ_2015', 'YachidaS_2019', 'ThomasAM_2018a']	YuJ_2015	species	0.8176950535441103	0.7795275590551181	0.7837837837837838	0.8055555555555555	0.7837837837837838	0.7735849056603774	424
LBGM	['FengQ_2015', 'YachidaS_2019', 'ThomasAM_2018a']	YuJ_2015	species	0.8176950535441103	0.7795275590551181	0.7837837837837838	0.8055555555555555	0.7837837837837838	0.7735849056603774	646
LBGM	['FengQ_2015', 'YachidaS_2019', 'ThomasAM_2018a']	YuJ_2015	species	0.8176950535441103	0.7795275590551181	0.7837837837837838	0.8055555555555555	0.7837837837837838	0.7735849056603774	968
LBGM	['FengQ_2015', 'WirbelJ_2018', 'VogtmannE_2016']	YuJ_2015	species	0.8465068842427333	0.7480314960629921	0.9054054054054054	0.8072289156626506	0.9054054054054054	0.5283018867924528	424
LBGM	['FengQ_2015', 'WirbelJ_2018', 'VogtmannE_2016']	YuJ_2015	species	0.8465068842427333	0.7480314960629921	0.9054054054054054	0.8072289156626506	0.9054054054054054	0.5283018867924528	646
LBGM	['FengQ_2015', 'WirbelJ_2018', 'VogtmannE_2016']	YuJ_2015	species	0.8465068842427333	0.7480314960629921	0.9054054054054054	0.8072289156626506	0.9054054054054054	0.5283018867924528	968
LBGM	['FengQ_2015', 'WirbelJ_2018', 'ZellerG_2014']	YuJ_2015	species	0.8452320244773075	0.7874015748031497	0.8378378378378378	0.8211920529801325	0.8378378378378378	0.7169811320754716	424
LBGM	['FengQ_2015', 'WirbelJ_2018', 'ZellerG_2014']	YuJ_2015	species	0.8452320244773075	0.7874015748031497	0.8378378378378378	0.8211920529801325	0.8378378378378378	0.7169811320754716	646
LBGM	['FengQ_2015', 'WirbelJ_2018', 'ZellerG_2014']	YuJ_2015	species	0.8452320244773075	0.7874015748031497	0.8378378378378378	0.8211920529801325	0.8378378378378378	0.7169811320754716	968
LBGM	['FengQ_2015', 'WirbelJ_2018', 'ThomasAM_2018a']	YuJ_2015	species	0.8572157062723101	0.7952755905511811	0.8378378378378378	0.8266666666666665	0.8378378378378378	0.7358490566037735	424
LBGM	['FengQ_2015', 'WirbelJ_2018', 'ThomasAM_2018a']	YuJ_2015	species	0.8572157062723101	0.7952755905511811	0.8378378378378378	0.8266666666666665	0.8378378378378378	0.7358490566037735	646
LBGM	['FengQ_2015', 'WirbelJ_2018', 'ThomasAM_2018a']	YuJ_2015	species	0.8572157062723101	0.7952755905511811	0.8378378378378378	0.8266666666666665	0.8378378378378378	0.7358490566037735	968
LBGM	['FengQ_2015', 'VogtmannE_2016', 'ZellerG_2014']	YuJ_2015	species	0.8138704742478329	0.7165354330708661	0.8243243243243243	0.7721518987341773	0.8243243243243243	0.5660377358490566	424
LBGM	['FengQ_2015', 'VogtmannE_2016', 'ZellerG_2014']	YuJ_2015	species	0.8138704742478329	0.7165354330708661	0.8243243243243243	0.7721518987341773	0.8243243243243243	0.5660377358490566	646
LBGM	['FengQ_2015', 'VogtmannE_2016', 'ZellerG_2014']	YuJ_2015	species	0.8138704742478329	0.7165354330708661	0.8243243243243243	0.7721518987341773	0.8243243243243243	0.5660377358490566	968
LBGM	['FengQ_2015', 'VogtmannE_2016', 'ThomasAM_2018a']	YuJ_2015	species	0.757266700662927	0.6850393700787402	0.8783783783783784	0.7647058823529412	0.8783783783783784	0.41509433962264153	424
LBGM	['FengQ_2015', 'VogtmannE_2016', 'ThomasAM_2018a']	YuJ_2015	species	0.757266700662927	0.6850393700787402	0.8783783783783784	0.7647058823529412	0.8783783783783784	0.41509433962264153	646
LBGM	['FengQ_2015', 'VogtmannE_2016', 'ThomasAM_2018a']	YuJ_2015	species	0.757266700662927	0.6850393700787402	0.8783783783783784	0.7647058823529412	0.8783783783783784	0.41509433962264153	968
LBGM	['FengQ_2015', 'ZellerG_2014', 'ThomasAM_2018a']	YuJ_2015	species	0.8360530341662418	0.7322834645669292	0.7702702702702703	0.7702702702702703	0.7702702702702703	0.6792452830188679	424
LBGM	['FengQ_2015', 'ZellerG_2014', 'ThomasAM_2018a']	YuJ_2015	species	0.8360530341662418	0.7322834645669292	0.7702702702702703	0.7702702702702703	0.7702702702702703	0.6792452830188679	646
LBGM	['FengQ_2015', 'ZellerG_2014', 'ThomasAM_2018a']	YuJ_2015	species	0.8360530341662418	0.7322834645669292	0.7702702702702703	0.7702702702702703	0.7702702702702703	0.6792452830188679	968
