index	cluster95	Domain	phylum	class	order	family	genus	species	subspecies	Label
0001001005	0001	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	001005	Phocaeicola vulgatus 001005
0001001001	0001	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	001001	Phocaeicola vulgatus 001001
0001001002	0001	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	001002	Phocaeicola vulgatus 001002
0002001003	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001003	Bacteroides uniformis 001003
0002001009	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001009	Bacteroides uniformis 001009
0002001013	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001013	Bacteroides uniformis 001013
0002001005	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001005	Bacteroides uniformis 001005
0002001001	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001001	Bacteroides uniformis 001001
0002001008	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001008	Bacteroides uniformis 001008
0002001010	0002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	001010	Bacteroides uniformis 001010
0003001003	0003	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A wexlerae	001003	Blautia_A wexlerae 001003
0003001002	0003	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A wexlerae	001002	Blautia_A wexlerae 001002
0004001004	0004	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	001004	Faecalibacterium prausnitzii_G 001004
0004001002	0004	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	001002	Faecalibacterium prausnitzii_G 001002
0004001001	0004	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	001001	Faecalibacterium prausnitzii_G 001001
